accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.699,117.262297332,89.89720080308494,0.3293220799404144,8.304564444,98.85348,10.104252888000005,89.56787872314453,6.674149036407471,1.7000000476837158,10.930999755859377,85.8,588.025390625,31,4143.538147717931,latency,1400,0,off,True
0.699,4016.129929524,79.241463545231,17.101448896793496,3936.474384874,69.124035,10.531509650000132,62.1400146484375,4.07266092300415,1.7000000476837158,0.0,25.1,591.021484375,31,4143.538147717931,splinter:latency,1800,17,off,False
0.699,116.330957237,90.21584048793278,0.3594562105890274,7.60567225,98.535167,10.190117987000008,89.85638427734375,6.693850040435791,1.7000000476837158,10.875,80.6,588.025390625,32,2210.8692443895784,cloud,1800,0,off,True
0.699,3932.270100974,16.854604265069614,16.854604265069614,3932.270090993,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,32,2210.8692443895784,edge,1800,19,off,False
0.699,4400.175757319999,84.69697828414095,16.95395918013705,4314.439095916,75.299802,10.43685940399928,67.7430191040039,4.4469170570373535,1.7000000476837158,0.0,25.1,591.021484375,32,2210.8692443895784,energy,1600,16,off,True
0.699,116.68476651,90.04421220913481,0.3281630147988796,8.232128490000001,98.04919,10.40344802,89.71604919433594,6.663268089294434,1.7000000476837158,11.001999855041504,86.7,588.025390625,32,2210.8692443895784,latency,1400,0,off,True
0.699,2077.75916162,85.09809908738512,8.773979519514036,1981.937894751,84.098682,11.722584868999832,76.3241195678711,5.402256965637207,1.7000000476837158,6.876999855041504,25.2,591.021484375,32,2210.8692443895784,splinter:latency,1800,10,off,True
0.699,115.903298356,89.87371454400484,0.3581810967392206,7.610808506,98.125362,10.167127850000014,89.51553344726562,6.677270889282227,1.7999999523162842,11.003999710083008,81.4,588.025390625,33,2322.404673586137,cloud,1800,0,off,True
0.699,3940.749497854,16.898488262418713,16.898488262418713,3940.749487946,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,33,2322.404673586137,edge,1800,19,off,False
0.699,4431.447439142,84.78636002765722,17.046453716622075,4315.0874870570005,75.387255,40.97269708499935,67.73990631103516,4.438807010650635,1.7000000476837158,0.0,25.1,591.021484375,33,2322.404673586137,energy,1600,16,off,True
